ip,first_seen,last_seen,count,severity,signature,protocol,country
64.23.249.58,2025-07-19T18:14:20.255000+00:00,2025-07-19T18:14:20.255000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
64.176.3.102,2025-07-20T20:30:35.139000+00:00,2025-07-20T20:30:35.139000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CL
64.176.165.127,2025-07-15T03:49:47.285000+00:00,2025-07-15T03:49:47.285000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,IL
64.176.179.240,2025-07-12T01:43:28.058000+00:00,2025-07-12T01:43:28.058000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,GB
64.176.227.10,2025-07-16T05:24:49.447000+00:00,2025-07-16T05:24:49.447000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,KR
64.227.185.144,2025-07-14T02:16:06.087000+00:00,2025-07-14T02:16:06.087000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,IN
65.20.89.226,2025-07-24T17:19:11+00:00,2025-07-24T17:19:11+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,IN
65.20.109.227,2025-07-26T03:12:06+00:00,2025-07-26T03:12:06+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,ES
65.155.105.178,2025-07-30T08:06:35+00:00,2025-07-30T08:06:35+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
66.42.125.90,2025-07-17T06:47:50.028000+00:00,2025-07-17T06:47:50.028000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
68.69.186.182,2025-07-29T13:43:13+00:00,2025-07-29T13:43:13+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
68.183.1.178,2025-07-17T15:55:15.064000+00:00,2025-07-22T19:38:17.251000+00:00,4,medium,"ET SCAN Potential SSH Scan",TCP,NL
78.128.112.74,2025-07-12T06:14:48.549000+00:00,2025-07-29T20:43:14+00:00,19,medium,"ET SCAN Potential SSH Scan",TCP,BG
80.94.92.94,2025-07-12T03:30:19.383000+00:00,2025-07-12T06:45:38.038000+00:00,12,medium,"ET SCAN Potential SSH Scan",TCP,NL
80.249.148.83,2025-07-29T07:27:22+00:00,2025-07-29T07:27:22+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,RU
85.121.148.168,2025-07-30T06:10:21+00:00,2025-07-30T06:10:21+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,MD
91.92.199.36,2025-07-19T20:18:07.029000+00:00,2025-07-23T02:38:52+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,BG
91.200.151.78,2025-07-30T21:11:08+00:00,2025-07-30T21:11:08+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,KZ
92.42.96.222,2025-07-23T04:18:48+00:00,2025-07-23T04:18:48+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,DE
94.107.82.186,2025-07-30T13:27:56+00:00,2025-07-30T13:27:56+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,BE
